
List of user-set options:

                                    Name   Value                used
                             alpha_for_y = safer-min-dual-infeas  yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 5e-05                 yes
This is Ipopt version 3.14.11, running with linear solver MUMPS 5.2.1.

Number of nonzeros in equality constraint Jacobian...:    24051
Number of nonzeros in inequality constraint Jacobian.:    23804
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      238
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      180
                     variables with only upper bounds:        0
Total number of equality constraints.................:      193
Total number of inequality constraints...............:      182
        inequality constraints with only lower bounds:       63
   inequality constraints with lower and upper bounds:       74
        inequality constraints with only upper bounds:       45

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.0000000e+00 1.00e+01 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.9946265e+00 1.00e+01 2.54e+01  11.6 1.87e+13    -  2.89e-13 5.89e-14f  1
   2  1.9821948e+00 1.00e+01 2.96e+01   6.5 5.70e+07    -  3.14e-08 6.03e-08f  1
   3  1.9676104e+00 1.00e+01 1.85e+02   6.5 2.96e+07    -  2.82e-07 2.59e-07f  1
   4  1.9181271e+00 1.00e+01 4.23e+03   6.5 1.23e+07    -  1.86e-05 7.90e-07f  1
   5  1.8275251e+00 1.00e+01 1.82e+08   6.5 3.99e+05    -  9.90e-01 4.24e-05f  1
   6  7.5551448e-01 9.11e+03 3.85e+08   4.5 9.49e+00    -  7.39e-01 1.00e+00h  1
   7  6.5187967e-01 1.74e+03 3.10e+08   3.9 2.23e+01    -  5.58e-01 6.10e-01h  1
   8  6.1809575e-01 1.27e+03 2.24e+08   3.5 2.57e+01    -  5.07e-01 4.25e-01h  1
   9  6.0508257e-01 5.73e+02 1.57e+08   3.2 2.60e+01    -  4.24e-01 5.16e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  6.0249648e-01 4.79e+02 1.55e+08   3.0 2.89e+01    -  4.56e-01 1.36e-01h  1
  11  6.0254538e-01 4.71e+02 1.40e+08   2.7 1.62e+01    -  2.94e-01 1.73e-02h  6
  12  6.0269832e-01 4.66e+02 2.43e+08   2.6 1.20e+01    -  1.07e-01 9.95e-03h  7
  13  6.0200526e-01 4.62e+02 8.02e+08   2.5 1.25e+02    -  9.61e-02 6.69e-03h  5
  14  6.1161975e-01 2.95e+02 7.20e+07   2.5 1.13e+01    -  4.35e-01 2.82e-01H  1
  15  6.1167213e-01 2.92e+02 6.16e+07   2.2 2.45e+01    -  1.72e-02 7.41e-03h  1
  16  6.1175187e-01 2.86e+02 5.46e+07   2.2 3.04e+01    -  1.01e-01 1.39e-02h  1
  17  6.0775412e-01 2.73e+02 6.13e+07   2.2 7.93e+01    -  1.29e-01 4.17e-02h  3
